Id,Name,AccountId,StageName,CloseDate,Amount,Type,Probability,Description
0060000000000001,"Vanguard Industries - 50 Licenses NEW",0010000000000001,"Closed Won","2022-03-15",75000,"New Business",100,"2022-01-10: Initial contact with CIO regarding new license requirements.
2022-01-25: Presented product demo to IT team.
2022-02-08: Technical evaluation completed successfully.
2022-02-20: Pricing negotiation started.
2022-03-01: Final proposal accepted.
2022-03-15: Contract signed and implemented."
0060000000000002,"Vanguard Industries - Annual Maintenance Renewal",0010000000000001,"Closed Won","2023-04-10",25000,"Renewal",100,"2023-02-15: Sent renewal notification.
2023-03-01: Customer confirmed interest in renewal.
2023-03-20: Negotiated maintenance terms.
2023-04-05: Received signed renewal agreement.
2023-04-10: Processed renewal payment."
0060000000000003,"Vanguard Industries - Cloud Migration Project",0010000000000001,"Closed Lost","2023-08-22",120000,"New Business",0,"2023-05-10: Initial discussion about cloud migration needs.
2023-06-05: Presented migration strategy and timeline.
2023-06-30: Technical assessment completed.
2023-07-15: Pricing proposal submitted.
2023-08-01: Customer expressed concerns about migration timeline.
2023-08-15: Attempted to revise proposal with adjusted timeline.
2023-08-22: Lost to competitor offering faster migration timeline and lower cost."
0060000000000004,"Vanguard Industries - 25 Licenses ADD",0010000000000001,"Closed Won","2024-02-28",37500,"Expansion",100,"2024-01-10: Customer requested quote for additional licenses.
2024-01-20: Discussed expansion needs with department heads.
2024-02-05: Submitted proposal for additional licenses.
2024-02-15: Proposal accepted.
2024-02-28: Order processed and licenses activated."
0060000000000005,"Vanguard Industries - Enterprise Security Package",0010000000000001,"Negotiation/Review","2025-04-15",180000,"New Business",75,"2025-01-10: Initial security assessment meeting.
2025-01-25: Presented comprehensive security solution.
2025-02-15: Technical proof of concept completed.
2025-03-01: Submitted detailed proposal.
2025-03-20: Currently in final negotiation phase."
0060000000000006,"Pinnacle Technologies - 100 Licenses NEW",0010000000000002,"Closed Won","2022-05-20",150000,"New Business",100,"2022-03-01: Initial meeting with CTO.
2022-03-15: Product demonstration to executive team.
2022-04-01: Technical evaluation period.
2022-04-20: Pricing negotiation.
2022-05-10: Contract finalized.
2022-05-20: Implementation completed."
0060000000000007,"Pinnacle Technologies - Custom Integration Project",0010000000000002,"Closed Won","2023-02-10",85000,"New Business",100,"2022-11-15: Initial requirements gathering.
2022-12-01: Integration architecture proposed.
2022-12-20: Technical specifications approved.
2023-01-15: Development and testing phase.
2023-02-05: Final acceptance testing.
2023-02-10: Project delivered and signed off."
0060000000000008,"Pinnacle Technologies - 50 Licenses ADD",0010000000000002,"Closed Won","2023-09-15",75000,"Expansion",100,"2023-07-20: Customer requested expansion quote.
2023-08-05: Needs assessment meeting.
2023-08-20: Proposal submitted.
2023-09-01: Proposal accepted.
2023-09-15: Additional licenses implemented."
0060000000000009,"Pinnacle Technologies - Annual Support Renewal",0010000000000002,"Closed Won","2024-06-01",60000,"Renewal",100,"2024-04-01: Sent renewal notification.
2024-04-15: Discussed support level options.
2024-05-01: Renewal agreement finalized.
2024-05-20: Payment processed.
2024-06-01: Support services renewed."
0060000000000010,"Pinnacle Technologies - AI Analytics Module",0010000000000002,"Proposal/Price Quote","2025-05-10",220000,"New Business",65,"2025-02-15: Initial discussion about AI analytics needs.
2025-03-01: Demonstration of AI capabilities.
2025-03-20: Technical assessment completed.
2025-04-10: Proposal submitted, awaiting customer review."
0060000000000011,"Beacon Industries - POS System Upgrade",0010000000000003,"Closed Won","2022-07-15",95000,"New Business",100,"2022-05-01: Initial meeting to discuss POS upgrade needs.
2022-05-15: System requirements finalized.
2022-06-01: Proposal submitted and accepted.
2022-06-20: Implementation planning.
2022-07-10: System testing completed.
2022-07-15: New POS system deployed."
0060000000000012,"Beacon Industries - Mobile App Development",0010000000000003,"Closed Lost","2023-03-10",120000,"New Business",0,"2022-12-01: Initial requirements gathering for retail mobile app.
2023-01-10: Prototype demonstration.
2023-01-25: Technical specifications review.
2023-02-15: Cost concerns raised by customer.
2023-03-01: Attempted to revise scope and budget.
2023-03-10: Lost to competitor with pre-built solution at lower cost."
0060000000000013,"Beacon Industries - Inventory Management System",0010000000000003,"Closed Won","2023-11-20",85000,"New Business",100,"2023-08-15: Initial discussion about inventory challenges.
2023-09-01: Requirements gathering and system design.
2023-09-20: Proposal submitted and accepted.
2023-10-15: System configuration and testing.
2023-11-10: Staff training completed.
2023-11-20: System fully implemented."
0060000000000014,"Beacon Industries - E-commerce Integration",0010000000000003,"Closed Won","2024-04-05",65000,"New Business",100,"2024-01-15: Initial discussion about online sales channel.
2024-02-01: Integration requirements finalized.
2024-02-20: Proposal accepted.
2024-03-15: Development and testing.
2024-04-05: E-commerce platform successfully integrated."
0060000000000015,"Beacon Industries - Loyalty Program Implementation",0010000000000003,"Value Proposition","2025-06-15",110000,"New Business",50,"2025-03-01: Initial discussion about customer loyalty program.
2025-03-20: Presented loyalty program concepts.
2025-04-15: Conducted market research with customer base.
2025-05-01: Developing detailed value proposition."
0060000000000016,"Northstar Resources - Property Management System",0010000000000004,"Closed Won","2022-06-10",130000,"New Business",100,"2022-03-15: Initial meeting with operations director.
2022-04-01: Requirements gathering sessions.
2022-04-20: System demonstration and evaluation.
2022-05-10: Proposal accepted.
2022-05-25: Implementation planning.
2022-06-10: System successfully deployed."
0060000000000017,"Northstar Resources - 75 User Licenses",0010000000000004,"Closed Won","2023-01-20",112500,"New Business",100,"2022-11-01: Initial license requirements discussion.
2022-11-20: User needs assessment completed.
2022-12-10: Pricing proposal submitted.
2023-01-05: Contract negotiations completed.
2023-01-20: Licenses activated and deployed."
0060000000000018,"Northstar Resources - Mobile Inspection App",0010000000000004,"Closed Lost","2023-07-15",95000,"New Business",0,"2023-04-01: Initial requirements gathering for mobile inspection app.
2023-04-20: Prototype demonstration.
2023-05-10: Technical evaluation period.
2023-06-01: Budget concerns raised.
2023-06-20: Attempted to revise scope.
2023-07-15: Lost due to internal budget cuts and project deprioritization."
0060000000000019,"Northstar Resources - Annual Maintenance",0010000000000004,"Closed Won","2024-02-10",45000,"Renewal",100,"2024-01-01: Sent maintenance renewal notification.
2024-01-15: Discussed service level options.
2024-01-25: Renewal agreement signed.
2024-02-10: Maintenance services renewed."
0060000000000020,"Northstar Resources - Smart Building Integration",0010000000000004,"Perception Analysis","2025-07-20",185000,"New Business",60,"2025-04-10: Initial discussion about smart building technology.
2025-04-25: Technical assessment of existing infrastructure.
2025-05-15: Proof of concept demonstration.
2025-06-01: Working through customer perception analysis."
